,name,address,md
60,PyTorch Essential Training Deep Learning,https://heaohan.github.io/files/certificate/CertificateOfCompletion_PyTorch%20Essential%20Training%20Deep%20Learning.pdf,[PyTorch Essential Training Deep Learning](https://heaohan.github.io/files/certificate/CertificateOfCompletion_PyTorch%20Essential%20Training%20Deep%20Learning.pdf)
61,Recurrent Neural Networks,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Recurrent%20Neural%20Networks.pdf,[Recurrent Neural Networks](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Recurrent%20Neural%20Networks.pdf)
62,Reinforcement Learning Foundations,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Reinforcement%20Learning%20Foundations.pdf,[Reinforcement Learning Foundations](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Reinforcement%20Learning%20Foundations.pdf)
63,Stay Lean with Kanban,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Stay%20Lean%20with%20Kanban.pdf,[Stay Lean with Kanban](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Stay%20Lean%20with%20Kanban.pdf)
64,Ten Tips for the C Developer,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Ten%20Tips%20for%20the%20C%20Developer.pdf,[Ten Tips for the C Developer](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Ten%20Tips%20for%20the%20C%20Developer.pdf)
65,TensorFlow Neural Networks and Working with Tables,https://heaohan.github.io/files/certificate/CertificateOfCompletion_TensorFlow%20Neural%20Networks%20and%20Working%20with%20Tables.pdf,[TensorFlow Neural Networks and Working with Tables](https://heaohan.github.io/files/certificate/CertificateOfCompletion_TensorFlow%20Neural%20Networks%20and%20Working%20with%20Tables.pdf)
66,TensorFlow Working with NLP,https://heaohan.github.io/files/certificate/CertificateOfCompletion_TensorFlow%20Working%20with%20NLP.pdf,[TensorFlow Working with NLP](https://heaohan.github.io/files/certificate/CertificateOfCompletion_TensorFlow%20Working%20with%20NLP.pdf)
67,Threading in C,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Threading%20in%20C.pdf,[Threading in C](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Threading%20in%20C.pdf)
68,Training Neural Networks in C,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Training%20Neural%20Networks%20in%20C.pdf,[Training Neural Networks in C](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Training%20Neural%20Networks%20in%20C.pdf)
69,Training Neural Networks in Python,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Training%20Neural%20Networks%20in%20Python.pdf,[Training Neural Networks in Python](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Training%20Neural%20Networks%20in%20Python.pdf)
70,Transfer Learning for Images Using PyTorch Essential Training,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Transfer%20Learning%20for%20Images%20Using%20PyTorch%20Essential%20Training.pdf,[Transfer Learning for Images Using PyTorch Essential Training](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Transfer%20Learning%20for%20Images%20Using%20PyTorch%20Essential%20Training.pdf)
71,Transformers Text Classification for NLP Using BERT,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Transformers%20Text%20Classification%20for%20NLP%20Using%20BERT.pdf,[Transformers Text Classification for NLP Using BERT](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Transformers%20Text%20Classification%20for%20NLP%20Using%20BERT.pdf)
72,Transitioning from Waterfall to Agile Project Management,https://heaohan.github.io/files/certificate/CertificateOfCompletion_Transitioning%20from%20Waterfall%20to%20Agile%20Project%20Management.pdf,[Transitioning from Waterfall to Agile Project Management](https://heaohan.github.io/files/certificate/CertificateOfCompletion_Transitioning%20from%20Waterfall%20to%20Agile%20Project%20Management.pdf)
73,MVTEC certificate attendance - He Ao Han,https://heaohan.github.io/files/certificate/MVTEC%20certificate%20attendance%20-%20He%20Ao%20Han.pdf,[MVTEC certificate attendance - He Ao Han](https://heaohan.github.io/files/certificate/MVTEC%20certificate%20attendance%20-%20He%20Ao%20Han.pdf)
74,MVTEC certificate attendance Deep Learning - He Ao Han,https://heaohan.github.io/files/certificate/MVTEC%20certificate%20attendance%20Deep%20Learning%20-%20He%20Ao%20Han.pdf,[MVTEC certificate attendance Deep Learning - He Ao Han](https://heaohan.github.io/files/certificate/MVTEC%20certificate%20attendance%20Deep%20Learning%20-%20He%20Ao%20Han.pdf)
